ID	Phylogeny	Species
AACY020170993	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	marine metagenome
AACY020174722	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	marine metagenome
AACY020396101	Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina	marine metagenome
AACY020462030	Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina	marine metagenome
AACY023318740	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	marine metagenome
AACY023524552	Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;PS1 clade;	marine metagenome
AACY023524844	Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina	marine metagenome
AAMD01000099	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Stigmatella	Stigmatella aurantiaca DW4/3-1
AAXT01000002	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia bovis
AAYJ01000093	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	Coxiella burnetii Q321
AB000272	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Theileria;	Theileria buffeli
AB007814	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosoma	Trypanosoma theileri
AB012199	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Theileria;	Theileria sp. CNY3C
AB012201	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Theileria;	Theileria sp. CC3A
AB015242	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
AB015549	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
AB015583	Bacteria;Proteobacteria;Gammaproteobacteria;BD7-8;;	uncultured gamma proteobacterium
AB021352	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Parapusillimonas	bacterium rM17
AB032434	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia microti
AB042532	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiothrix	Thiolinea disciformis
AB049999	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia rodhaini
AB062844	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;Raoultibacter	uncultured bacterium
AB066230	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium	Sphingomonas sp. PT20
AB070506	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia sp. IoRK/HM101
AB071177	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia microti
AB074459	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Ehrlichia	Candidatus Ehrlichia shimanensis
AB083374	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia canis vogeli
AB083376	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia sp. Xinjiang 1648
AB083432	Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;Plesiocystis	Plesiocystis pacifica
AB084253	Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;Nannocystis	Nannocystis exedens
AB086632	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Lampropedia	Lampropedia hyalina
AB089485	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Lampropedia	Lampropedia hyalina
AB092691	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Lampropedia	Lampropedia hyalina
AB097590	Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;Enhygromyxa	Enhygromyxa salina
AB175623	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosoma	Trypanosoma grosi
AB175626	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosoma	Trypanosoma kuseli
AB177162	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
AB177179	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
AB179694	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus	uncultured bacterium
AB186846	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	uncultured bacterium
AB186847	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	uncultured bacterium
AB188645	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Sanguibacteraceae;Sanguibacter-Flavimobilis	uncultured bacterium
AB188771	Bacteria;Sva0485;;;;	uncultured delta proteobacterium
AB189349	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
AB189365	Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;uncultured	uncultured Desulfobacterium sp.
AB190771	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;uncultured	Anaplasmataceae bacterium IS136
AB192131	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;Raoultibacter	uncultured actinobacterium
AB197940	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia microti
AB212893	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Luteibacter	uncultured bacterium
AB213564	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Luteibacter	uncultured bacterium
AB218205	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus xanthus
AB218206	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus fulvus
AB218207	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus stipitatus
AB218208	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus stipitatus
AB218209	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus fulvus
AB218210	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Corallococcus	Myxococcus fulvus
AB218211	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Corallococcus	Myxococcus fulvus
AB218212	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus fulvus
AB218213	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Corallococcus	Myxococcus fulvus
AB218214	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus fulvus
AB218215	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Corallococcus coralloides
AB218216	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus virescens
AB218217	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus virescens
AB218218	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus virescens
AB218219	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus virescens
AB218220	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus virescens
AB218221	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Corallococcus	Corallococcus coralloides
AB218222	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Archangium	Archangium gephyra
AB218223	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Cystobacter	Cystobacter fuscus
AB218224	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus fulvus
AB218225	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus virescens
AB218226	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus virescens
AB218227	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus fulvus
AB218228	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus fulvus
AB218229	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Corallococcus	Myxococcus fulvus
AB218230	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus fulvus
AB218231	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus fulvus
AB218232	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus fulvus
AB218233	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Corallococcus	Myxococcus fulvus
AB219802	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia microti
AB232531	Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;uncultured	uncultured bacterium
AB232532	Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;uncultured	uncultured bacterium
AB232801	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
AB234517	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;uncultured	uncultured actinomycete
AB234518	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;uncultured	uncultured actinomycete
AB238765	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
AB240241	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	uncultured bacterium
AB240299	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	uncultured bacterium
AB240359	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
AB240367	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB242276	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosoma	Trypanosoma sp. TryEaNG/HP405
AB242822	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosoma	Trypanosoma sp. TryCdVNM301
AB242823	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosoma	Trypanosoma sp. TryAsTWN301
AB248625	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
AB248627	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
AB251610	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia sp. MA#361-1
AB251612	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia sp. SAP#131
AB252740	Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;Nannocystis	myxobacterium SMH-27-4
AB252952	Bacteria;NB1-j;;;;	uncultured bacterium
AB281091	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosoma	Trypanosoma sp. KG1
AB288891	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus	uncultured bacterium
AB294284	Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas	uncultured bacterium
AB294287	Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas	uncultured bacterium
AB294315	Bacteria;Proteobacteria;Alphaproteobacteria;uncultured;;	uncultured bacterium
AB294334	Bacteria;NB1-j;;;;	uncultured bacterium
AB294972	Bacteria;Proteobacteria;Gammaproteobacteria;pItb-vmat-80;;	uncultured gamma proteobacterium
AB300127	Bacteria;Chloroflexi;Anaerolineae;MSB-5B2;;	uncultured bacterium
AB307655	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB307656	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB355074	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulforhabdus	uncultured bacterium
AB355079	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulforhabdus	uncultured bacterium
AB360343	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	Ilumatobacter fluminis
AB360345	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	Ilumatobacter nonamiensis YM16-303
AB360346	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	Ilumatobacter coccineus YM16-304
AB362411	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosoma	Trypanosoma minasense
AB364719	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus	uncultured bacterium
AB364722	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
AB364730	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
AB364732	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	uncultured bacterium
AB364735	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
AB364736	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
AB364740	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
AB370250	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	Parasutterella excrementihominis
AB376087	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Yonghaparkia	Yonghaparkia alkaliphila
AB425060	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured delta proteobacterium
AB426214	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;uncultured	uncultured bacterium
AB428564	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Ehrlichia	Ehrlichia sp. 360
AB440172	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured	uncultured bacterium
AB440174	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured	uncultured bacterium
AB440176	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured	uncultured bacterium
